Position (mm),Power in (mW)
6.985,5.6953642384
7.0104,5.6953642384
7.0358,5.6953642384
7.0612,5.6638284453
7.0866,5.6480605487
7.112,5.6480605487
7.1374,5.6322926522
7.1628,5.6165247556
7.1882,5.5849889625
7.2136,5.5692210659
7.239,5.5376852728
7.2644,5.5061494797
7.2898,5.45884579
7.3152,5.4115421003
7.3406,5.3327026175
7.366,5.2696310312
7.3914,5.1750236518
7.4168,5.0646483759
7.4422,4.9227373068
7.4676,4.7492904447
7.493,4.5758435825
7.5184,4.3708609272
7.5438,4.1028066856
7.5692,3.8662882371
7.5946,3.6140018921
7.62,3.330179754
7.6454,3.0936613056
7.6708,2.7783033743
7.6962,2.5102491328
7.7216,2.2579627878
7.747,2.0214443393
7.7724,1.7849258909
7.7978,1.5389467045
7.8232,1.3245033113
7.8486,1.110059918
7.874,0.9460737938
7.8994,0.7947019868
7.9248,0.655944497
7.9502,0.5298013245
7.9756,0.4415011038
8.001,0.3405865658
8.0264,0.2775149795
8.0518,0.2270577105
8.0772,0.1766004415
8.1026,0.1387574898
8.128,0.100914538
8.1534,0.0756859035
8.1788,0.050457269
8.2042,0.0425733207
8.2296,0.0331125828
8.255,0.0299590035
8.2804,0.0204982655
8.3058,0.0141911069
8.3312,0.0126143173
8.3566,0.0110375276
8.382,0.0094607379
8.4074,0.0078839483
8.4328,0.004730369
8.4582,0.0031535793
8.4836,0.0031535793
8.509,0.0015767897
8.5344,0.0015767897
8.5598,0.0015767897
8.5852,0.0015767897
